Sample no.,X,Y
491,161.76,30.4
492,161.76,30.4
493,161.76,30.4
494,161.76,30.4
495,161.76,30.4
496,161.76,30.4
497,161.76,30.4
498,160.98,30.41
499,161.78,29.55
500,161.78,29.55
501,160.98,30.41
502,161.78,29.55
503,161.78,29.55
504,160.98,30.41
505,161.78,29.55
506,160.98,30.41
507,161,29.56
508,161.78,29.55
509,161.78,29.55
510,161,29.56
511,161.78,29.55
512,160.98,30.41
513,160.98,30.41
514,160.98,30.41
515,160.98,30.41
516,160.98,30.41
517,160.98,30.41
518,161,29.56
519,160.98,30.41
520,160.98,30.41
521,161.76,30.4
522,161.76,30.4
523,161.76,30.4
524,160.98,30.41
525,161.78,29.55
526,160.98,30.41
527,160.98,30.41
528,161,29.56
529,160.98,30.41
530,161,29.56
531,161.76,30.4
532,160.98,30.41
533,160.98,30.41
534,161.78,29.55
535,161,29.56
536,161,29.56
537,160.2,30.41
538,160.2,30.41
539,160.2,30.41
540,160.2,30.41
541,160.2,30.41
542,160.98,30.41
543,160.98,30.41
544,161,29.56
545,161,29.56
546,161,29.56
547,161,29.56
548,160.98,30.41
549,160.2,30.41
550,160.2,30.41
551,160.2,30.41
552,160.2,30.41
553,160.2,30.41
554,160.98,30.41
555,160.98,30.41
556,160.98,30.41
557,160.98,30.41
558,161.76,30.4
559,160.95,31.25
560,160.95,31.25
561,160.95,31.25
562,161.73,31.24
563,161.73,31.24
564,161.73,31.24
565,161.71,32.09
566,162.49,32.08
567,162.46,32.93
568,162.46,32.93
569,162.46,32.93
570,163.21,33.77
571,163.21,33.77
572,163.99,33.77
573,163.99,33.77
574,163.99,33.77
575,163.96,34.62
576,163.96,34.62
577,163.96,34.62
578,164.76,33.76
579,163.96,34.62
580,164.74,34.61
581,164.74,34.61
582,164.76,33.76
583,164.74,34.61
584,164.74,34.61
585,164.74,34.61
586,164.74,34.61
587,164.74,34.61
588,164.74,34.61
589,164.74,34.61
590,164.74,34.61
591,164.76,33.76
592,164.74,34.61
593,164.74,34.61
594,164.74,34.61
595,164.76,33.76
596,164.74,34.61
597,164.74,34.61
598,164.74,34.61
599,164.74,34.61
600,164.74,34.61
601,164.74,34.61
602,163.96,34.62
603,164.74,34.61
604,164.74,34.61
605,164.74,34.61
606,164.74,34.61
607,164.74,34.61
608,164.74,34.61
609,164.74,34.61
610,164.74,34.61
611,164.74,34.61
612,164.74,34.61
613,164.74,34.61
614,164.74,34.61
615,163.96,34.62
616,164.74,34.61
617,164.74,34.61
618,164.74,34.61
619,164.74,34.61
620,164.74,34.61
621,164.74,34.61
622,164.74,34.61
623,164.74,34.61
624,164.76,33.76
625,164.74,34.61
626,164.74,34.61
627,164.74,34.61
628,164.74,34.61
629,164.74,34.61
630,165.51,34.6
631,165.51,34.6
632,165.51,34.6
633,166.26,35.45
634,166.26,35.45
635,167.03,35.44
636,167.8,35.43
637,168.54,36.28
638,168.54,36.28
639,169.3,36.27
640,169.33,35.42
641,170.1,35.41
642,170.83,36.25
643,171.6,36.25
644,171.6,36.25
645,172.33,37.09
646,171.57,37.1
647,171.57,37.1
648,172.33,37.09
649,172.3,37.95
650,172.33,37.09
651,172.3,37.95
652,173.06,37.94
653,172.3,37.95
654,173.06,37.94
655,172.3,37.95
656,172.3,37.95
657,172.3,37.95
658,172.3,37.95
659,172.3,37.95
660,172.3,37.95
661,172.3,37.95
662,171.54,37.96
663,171.51,38.81
664,171.51,38.81
665,169.96,39.68
666,170.69,40.53
667,170.66,41.39
668,170.61,43.11
669,170.61,43.11
670,170.59,43.97
671,170.56,44.83
672,169.77,45.7
673,169.01,45.7
674,169.04,44.84
675,168.99,46.57
676,168.23,46.57
677,167.47,46.58
678,167.47,46.58
679,167.47,46.58
680,167.47,46.58
681,167.47,46.58
682,167.47,46.58
683,167.47,46.58
684,167.47,46.58
685,167.47,46.58
686,167.47,46.58
687,167.47,46.58
688,167.47,46.58
689,167.47,46.58
690,168.25,45.71
691,167.44,47.44
692,168.23,46.57
693,167.44,47.44
694,168.23,46.57
695,167.44,47.44
696,168.23,46.57
697,168.23,46.57
698,168.21,47.43
699,167.44,47.44
700,168.23,46.57
701,167.44,47.44
702,168.23,46.57
703,167.47,46.58
704,167.44,47.44
705,168.21,47.43
706,168.23,46.57
707,168.23,46.57
708,168.28,44.85
709,168.23,46.57
710,168.23,46.57
711,168.97,47.43
712,168.99,46.57
713,169.7,48.29
714,169.66,50.02
715,169.61,51.75
716,169.59,52.62
717,169.57,53.48
718,169.53,55.22
719,170.24,56.96
720,170.2,58.7
721,170.15,61.31
722,170.84,63.93
723,170.79,66.56
724,170,69.19
725,169.94,73.57
726,170.64,77.1
727,170.6,80.62
728,170.56,85.03
729,170.54,87.68
730,170.52,91.22
731,170.5,95.65
732,170.5,99.19
733,171.25,103.63
734,172,107.2
735,171.28,110.73
736,171.31,115.16
737,171.35,118.7
738,171.4,123.13
739,172.21,127.58
740,172.31,132.89
741,172.38,136.42
742,172.46,139.95
743,172.55,143.47
744,172.67,147.86
745,172.81,152.24
746,173.61,154.04
747,172.96,156.62
748,173.08,160.1
749,173.08,160.1
750,173.83,160.15
751,173.12,160.97
752,173.08,160.1
753,173.12,160.97
754,173.12,160.97
755,173.12,160.97
756,173.15,161.84
757,173.12,160.97
758,173.12,160.97
759,173.86,161.02
